LSTM,BJGB,lstm,hezj
,,-0.001942762,0.00311
,,0.003492837,0.00259
,,0.001791463,0.0041
,,0.000461809,0.00011
,,0.001123275,0.00008
,,-0.001439158,-0.00326
,,-0.000608015,-0.00256
,,-0.002511143,-0.00215
,,-0.001425027,0.00198
,,-0.000977934,0.00139
,,-0.000633077,-0.00026
,,0.000205971,0.00472
,,-0.000741712,0.00393
,,0.001231188,0.0043
,,0.001459121,0.00905
,,0.000660889,0.00291
,,0.002568154,0.00151
,,0.000685254,0.00308
,,-0.000751708,-0.00008
,,0.000265403,0.0008
,,-0.001689274,0.00197
,,-0.000262323,-0.00105
,,0.000196478,0.00567
,,-0.000743084,0.00995
,,0.001809503,0.00588
,,0.005341974,0.0039
,,0.002623909,-0.00473
,,0.000301582,-0.00252
,,-0.004703591,-0.00345
,,-0.002611668,0
,,-0.001466116,0.00009
,,-0.003091722,-0.0057
,,-0.001049731,-0.00242
,,-0.001167884,-0.0092
,,-0.001874814,-0.00144
,,-0.00467509,0.00036
,,-0.004023688,-0.00157
,,-0.00175031,-0.00246
,,-0.001577703,0.00041
,,-0.002784648,-0.00072
,,-0.002493257,0.0004
,,-0.000795504,-0.00037
,,-0.002229676,-0.00499
,,-0.000628468,-0.01082
,,-0.003122701,-0.00758
,,-0.004470982,-0.00446
,,-0.005735563,-0.00373
,,-0.004696882,-0.00245
,,-0.004509265,-0.00017
,,-0.004228489,0.00489
,,-0.001441335,0.00155
